Time [s], Analyzer Name, Decoded Protocol Result
0.495340000000000,RX,0x55
0.505860000000000,TX,0xE6
0.517540000000000,TX,0xD6
0.529640000000000,TX,0x60
1.463900000000000,RX,0x55
1.474540000000000,TX,0xE6
1.487260000000000,TX,0xD6
1.497900000000000,TX,0x60
1.527100000000000,TX,0xBD
1.545660000000000,RX,0xBC
1.590400000000000,RX,0xCD
1.597140000000000,RX,0x80
1.624940000000000,RX,0xCD
1.631640000000000,RX,0x8D
1.811100000000000,RX,0xCD
1.817820000000000,RX,0x80
1.839660000000000,RX,0xC0
1.846380000000000,RX,0x80
1.872240000000000,RX,0xC0
1.878940000000000,RX,0x80
2.522060000000000,RX,0xCD
2.528780000000000,RX,0x80
2.552420000000000,RX,0xCD
2.559140000000000,RX,0x8D
2.800100000000000,RX,0xCD
2.806820000000000,RX,0x80
2.830200000000000,RX,0xC0
2.836920000000000,RX,0x80
2.862880000000000,RX,0xC0
2.869580000000000,RX,0x80
3.498180000000000,RX,0xCD
3.504880000000000,RX,0x80
3.528860000000000,RX,0xCD
3.535600000000000,RX,0x8D
3.824740000000000,RX,0xCD
3.831460000000000,RX,0x80
3.853400000000000,RX,0xC0
3.860120000000000,RX,0x80
3.886420000000000,RX,0xC0
3.893140000000000,RX,0x80
4.552780000000000,RX,0xCD
4.559500000000000,RX,0x80
4.582700000000000,RX,0xCD
4.589400000000000,RX,0x8D
4.868860000000000,RX,0xCD
4.875580000000000,RX,0x80
4.898360000000000,RX,0xC0
4.905060000000000,RX,0x80
4.930820000000000,RX,0xC0
4.937540000000000,RX,0x80
5.623880000000000,RX,0xCD
5.630600000000000,RX,0x80
5.654660000000000,RX,0xCD
5.661380000000000,RX,0x8D
5.945920000000000,RX,0xC0
5.952660000000000,RX,0x8D
5.975980000000000,RX,0xC0
5.982700000000000,RX,0x80
6.008640000000000,RX,0xC0
6.015360000000000,RX,0x80
6.673880000000000,RX,0xCD
6.680600000000000,RX,0x80
6.705280000000000,RX,0xCD
6.711980000000000,RX,0x8D
6.996760000000000,RX,0xC0
7.003480000000000,RX,0x8D
7.026380000000000,RX,0xC0
7.033100000000000,RX,0x80
7.059060000000000,RX,0xC0
7.065760000000000,RX,0x80
8.049560000000000,RX,0x55
8.059939999999999,TX,0xE6
8.071619999999999,TX,0xD6
8.083520000000000,TX,0x60
9.018440000000000,RX,0x55
9.032600000000000,TX,0xE6
9.044280000000001,TX,0xD6
9.056380000000001,TX,0x60
