Time [s], Analyzer Name, Decoded Protocol Result
0.840020000000000,TX 4800 (1),0x55
0.852460000000000,RX 4800 (0),0xE6
0.864140000000000,RX 4800 (0),0xD6
0.876020000000000,RX 4800 (0),0x60
1.814020000000000,TX 4800 (1),0x55
1.825100000000000,RX 4800 (0),0xE6
1.836780000000000,RX 4800 (0),0xD6
1.848460000000000,RX 4800 (0),0x60
2.234920000000000,TX 4800 (1),0xC0
2.241640000000000,TX 4800 (1),0x8D
2.463120000000000,TX 4800 (1),0xC0
2.469840000000000,TX 4800 (1),0x80
2.494580000000000,TX 4800 (1),0xC0
2.501300000000000,TX 4800 (1),0x80
3.485200000000000,TX 4800 (1),0x55
3.496960000000000,RX 4800 (0),0xE6
3.508640000000000,RX 4800 (0),0xD6
3.521360000000000,RX 4800 (0),0x60
3.764860000000000,TX 4800 (1),0xC0
3.771580000000000,TX 4800 (1),0x8D
4.005400000000000,TX 4800 (1),0xC0
4.012100000000000,TX 4800 (1),0x80
4.034600000000000,TX 4800 (1),0xC0
4.041320000000000,TX 4800 (1),0x80
4.260200000000000,RX 4800 (0),0xBD
4.279620000000000,TX 4800 (1),0xBC
5.259360000000000,TX 4800 (1),0x55
5.270180000000000,RX 4800 (0),0xE6
5.272260000000000,RX 4800 (0),0xD6
5.285820000000000,RX 4800 (0),0x60
5.315780000000000,TX 4800 (1),0xC0
5.322500000000000,TX 4800 (1),0x8D
5.556500000000000,TX 4800 (1),0xC0
5.563200000000000,TX 4800 (1),0x80
5.585720000000000,TX 4800 (1),0xC0
5.592440000000000,TX 4800 (1),0x80
6.576440000000000,TX 4800 (1),0x55
6.590360000000000,RX 4800 (0),0xE6
6.602240000000000,RX 4800 (0),0xD6
6.613920000000000,RX 4800 (0),0x60
6.851260000000000,TX 4800 (1),0xC0
6.857980000000000,TX 4800 (1),0x8D
7.091000000000000,TX 4800 (1),0xC0
7.097720000000000,TX 4800 (1),0x80
7.120720000000000,TX 4800 (1),0xC0
7.127440000000000,TX 4800 (1),0x80
8.111240000000000,TX 4800 (1),0x55
8.121620000000000,RX 4800 (0),0xE6
8.134539999999999,RX 4800 (0),0xD6
8.136640000000000,RX 4800 (0),0x60
8.477800000000000,TX 4800 (1),0xC0
8.484500000000001,TX 4800 (1),0x8D
8.671220000000000,TX 4800 (1),0xC0
8.677940000000000,TX 4800 (1),0x80
8.704480000000000,TX 4800 (1),0xC0
8.711200000000000,TX 4800 (1),0x80
9.696260000000001,TX 4800 (1),0x55
9.707520000000001,RX 4800 (0),0xE6
9.719200000000001,RX 4800 (0),0xD6
9.731920000000001,RX 4800 (0),0x60
10.023920000000000,TX 4800 (1),0xC0
10.030620000000001,TX 4800 (1),0x8D
10.205560000000000,TX 4800 (1),0xC0
10.212280000000000,TX 4800 (1),0x80
10.234080000000001,TX 4800 (1),0xC0
10.240800000000000,TX 4800 (1),0x80
11.224360000000001,TX 4800 (1),0x55
11.238580000000001,RX 4800 (0),0xE6
11.250679999999999,RX 4800 (0),0xD6
11.261939999999999,RX 4800 (0),0x60
11.724280000000000,TX 4800 (1),0xC0
11.731000000000000,TX 4800 (1),0x8D
11.966699999999999,TX 4800 (1),0xC0
11.973400000000000,TX 4800 (1),0x80
11.997000000000000,TX 4800 (1),0xC0
12.003720000000000,TX 4800 (1),0x80
12.987740000000001,TX 4800 (1),0x55
13.000120000000001,RX 4800 (0),0xE6
13.012020000000000,RX 4800 (0),0xD6
13.023700000000000,RX 4800 (0),0x60
13.961940000000000,TX 4800 (1),0x55
13.972780000000000,RX 4800 (0),0xE6
13.985300000000001,RX 4800 (0),0xD6
13.996140000000000,RX 4800 (0),0x60
14.930720000000001,TX 4800 (1),0x55
14.941480000000000,RX 4800 (0),0xE6
14.953160000000000,RX 4800 (0),0xD6
14.964840000000001,RX 4800 (0),0x60
